dataset_id,category,name,source_url,version,file_format,size_reported,license,access_level,download_status,local_path,notes
presage_cache,experimental,PRESAGE Zenodo缓存包,https://zenodo.org/records/15587986,pending,tar.gz,pending,source-specific,public,registered,data/raw/presage_cache/,"包含5个h5ad文件；不猜测包内有模型权重"
presage_h5ad_1,experimental,h5ad文件1,derived_from_cache,pending,h5ad,pending,source-specific,public,not_downloaded,data/raw/presage_cache/,,,"需实际解压后核验文件名和内容"
presage_h5ad_2,experimental,h5ad文件2,derived_from_cache,pending,h5ad,pending,source-specific,public,not_downloaded,data/raw/presage_cache/,,,"需实际解压后核验"
presage_h5ad_3,experimental,h5ad文件3,derived_from_cache,pending,h5ad,pending,source-specific,public,not_downloaded,data/raw/presage_cache/,,,"需实际解压后核验"
presage_h5ad_4,experimental,h5ad文件4,derived_from_cache,pending,h5ad,pending,source-specific,public,not_downloaded,data/raw/presage_cache/,,,"需实际解压后核验"
presage_h5ad_5,experimental,h5ad文件5,derived_from_cache,pending,h5ad,pending,source-specific,public,not_downloaded,data/raw/presage_cache/,,,"需实际解压后核验"
gse264667,experimental,GSE264667,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667,pending,fastq/h5ad,pending,CC BY 4.0,public,registered,data/raw/gse264667/,,,"PRESAGE相关GEO数据"
scperturb_rna,experimental,scPerturb RNA数据,https://zenodo.org/records/7041849,pending,h5ad,pending,CC BY 4.0,public,reused,datasets/scperturb/,,,"复用已有scperturb模块，不重复下载"
replogle_data,experimental,Replogle数据,https://gwps.wi.mit.edu/,pending,h5ad,pending,CC BY 4.0,public,reused,"datasets/gears/;datasets/xcell/",,"复用已有gears和xcell模块，不重复下载"
depmap_data,prior,DepMap数据,https://plus.figshare.com/articles/dataset/DepMap_24Q4_Public/27993248,pending,csv/parquet,pending,CC BY 4.0,public,reused,datasets/xcell/,,,"复用已有xcell模块，不重复下载"
gene_embedding,prior,基因语义嵌入,derived_from_cache,pending,npy/h5,pending,source-specific,public,not_downloaded,data/raw/embeddings/,,,"记录基因ID类型、维度、来源名称、覆盖范围及缺失处理"
genept_embedding,prior,GenePT嵌入,https://zenodo.org/records/10833191,pending,npy,pending,source-specific,public,reused,datasets/adapert/,,,"复用已有adapert模块中的GenePT资源"
processed_response,processed,处理后的平均响应,derived,pending,h5ad/csv,pending,source-specific,public,not_generated,data/processed/,,,"归一化对数表达减对照均值再按扰动求平均；HVG外可能补回被扰动基因"
gene_mask,processed,基因映射与缺失掩码,derived,pending,csv/npy,pending,source-specific,public,not_generated,data/processed/,,,"输入基因与输出响应基因的区别；缺失基因掩码"
train_test_split,processed,训练验证测试划分,derived_from_cache,pending,csv,pending,source-specific,public,not_downloaded,data/processed/,,,"官方划分；目标系统测试扰动真实响应不加入训练"
presage_code,code,PRESAGE官方代码,https://github.com/Genentech/PRESAGE,pending,git,pending,source-specific,public,registered,code_refs/,,,"代码与评估工具"
